route_id,stop_name,stop_id,stop_sequence,stop_lat,stop_lon,shape_id
T9,p.ta genova m2,11181,1,45.4535581445273,9.16978532380795,4538
T9,via vigevano via corsico,11191,2,45.4530071802505,9.17289125303977,4538
T9,via vigevano v.le gorizia,11198,3,45.4527851674734,9.17581221839884,4538
T9,p.za ventiquattro maggio,11444,4,45.4523232055787,9.17904519385861,4538
T9,v.le col di lana,11451,5,45.4519972185071,9.18391314900765,4538
T9,porta lodovica,11461,6,45.4515902177572,9.18748908823274,4538
T9,via bocconi,11469,7,45.4509432470461,9.19007810280653,4538
T9,v.le bligny,11752,8,45.4509062787846,9.19374203804143,4538
T9,via ripamonti v.le sabotino,11755,9,45.4509012457772,9.1962990056012,4538
T9,v.le sabotino,11771,10,45.4508852854889,9.20034096136499,4538
T9,p.ta romana m3,11777,11,45.4516832551615,9.20259893074092,4538
T9,v.le monte nero via pier lombardo,11783,12,45.4549502315485,9.20423089418229,4538
T9,v.le monte nero via bergamo,11824,13,45.4575091994896,9.20560888066468,4538
T9,v.le monte nero via spartaco,12086,14,45.4595972035537,9.20711278735173,4538
T9,p.za cinque giornate,12089,15,45.4617851473368,9.20771482608823,4538
T9,v.le premuda,12092,16,45.4653281609673,9.20731379722101,4538
T9,p.za tricolore,12129,17,45.4675080868562,9.20712477875138,4538
T9,v.le piave,12133,18,45.4716880863354,9.2067187721618,4538
T9,p.ta venezia m1,11856,19,45.4744450178288,9.205625783845,4538
T9,v.le vittorio veneto,11850,20,45.4764550069834,9.20121977060903,4538
T9,repubblica m3,11877,21,45.4782059380898,9.19739884439542,4538
T9,v.le monte santo,11862,22,45.4793469612183,9.19491587469604,4538
T9,p.za s. gioachimo,11874,23,45.4808229311183,9.19729686363376,4538
T9,via filzi via pirelli,11880,24,45.4835508957916,9.19983475846331,4538
T9,via filzi via galvani,15528,25,45.4848138752184,9.20063377419253,4538
T9,stazione centrale m2 m3,11923,26,45.4869978630769,9.20277672045857,4538
T7,precotto (int.deposito),15646,1,45.5178626024757,9.23290217435261,6791
T7,anassagora,15874,2,45.5147856489961,9.23149020912402,6791
T7,parmenide,15647,3,45.5139466758169,9.22752222903556,6791
T7,precotto m1,15648,4,45.5136086524979,9.22465631008104,6791
T7,l.go mattei,15294,5,45.5140475824537,9.2210843349316,6791
T7,arcimboldi ateneo nuovo,15292,6,45.5157185773825,9.21372741996636,6791
T7,greco,15290,7,45.5133675932973,9.21388544464774,6791
T7,universita' bicocca scienza,15288,8,45.5137325969746,9.21127647979684,6791
