"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"12738","","via monfalcone via sangro","","45.4943429280203","9.23737624812256","","","","","Europe/Rome","2"
"12739","","via feltre via crescenzago","","45.4912709145026","9.24084720442065","","","","","Europe/Rome","2"
"12740","","via feltre via crescenzago","","45.4911859712914","9.24075624462352","","","","","Europe/Rome","2"
"12741","","via crescenzago via pisani dossi","","45.4875779498548","9.24218921401937","","","","","Europe/Rome","2"
"12742","","via pisani dossi via crescenzago","","45.4874550104978","9.2428292180319","","","","","Europe/Rome","2"
"12743","","via pisani dossi via crescenzago","","45.4877510139271","9.24337420291249","","","","","Europe/Rome","2"
"12744","","via pisani dossi via feltre","","45.4902359634409","9.24298219098576","","","","","Europe/Rome","2"
"12745","","via pisani dossi via feltre","","45.4905459346152","9.24301022099015","","","","","Europe/Rome","2"
"12746","","via feltre via pisani dossi","","45.4912709061449","9.24302119645828","","","","","Europe/Rome","2"
"12747","","via feltre via pisani dossi","","45.4913609459288","9.24316922130944","","","","","Europe/Rome","2"
"12748","","via padova via esterle","","45.4954718510049","9.22899333472726","","","","","Europe/Rome","1"
"12749","","via pisani dossi, 26","","45.4885279767851","9.24411522316831","","","","","Europe/Rome","2"
"12750","","via rombon via passo rolle","","45.4868959775955","9.24702620732532","","","","","Europe/Rome","2"
"12751","","via passo rolle via rombon","","45.4881459650025","9.24808216699826","","","","","Europe/Rome","2"
"12752","","via passo rolle via rombon","","45.4884739914514","9.24820812547999","","","","","Europe/Rome","2"
"12753","","via passo rolle via feltre","","45.4908559706034","9.24766517306505","","","","","Europe/Rome","2"
"12754","","via passo rolle via feltre","","45.4907469368171","9.2478131766299","","","","","Europe/Rome","2"
"12755","","via palmanova via cesana","","45.4966028987731","9.23505026607149","","","","","Europe/Rome","2"
"12756","","via padova via bengasi","","45.4992368422332","9.23408923712153","","","","","Europe/Rome","2"
"12757","","via padova via bengasi","","45.4997898241256","9.23467625538505","","","","","Europe/Rome","2"
"12758","","via palmanova via cesana","","45.4965688739179","9.23623323853498","","","","","Europe/Rome","2"
"12759","","via derna via benadir","","45.4990668035218","9.23594824693452","","","","","Europe/Rome","2"
"12760","","via padova v.le don orione","","45.5014627848927","9.2370922177253","","","","","Europe/Rome","2"
"12761","","via padova v.le don orione","","45.5020347933882","9.23761017978201","","","","","Europe/Rome","2"
"12762","","via p.te nuovo via biumi","","45.5056707655322","9.2374672230515","","","","","Europe/Rome","2"
"12763","","via monfalcone via marazzani","","45.4971168789754","9.23877623814641","","","","","Europe/Rome","2"
"12764","","via monfalcone via marazzani","","45.4970848563113","9.2388982149663","","","","","Europe/Rome","2"
"12765","","via riccardi v.le don orione","","45.5016027954036","9.23934920683712","","","","","Europe/Rome","2"
"12766","","cimiano m2","","45.4994588736787","9.23998819025148","","","","","Europe/Rome","2"
"12767","","via padova via de la salle","","45.5032857918672","9.23934218423646","","","","","Europe/Rome","2"
"12768","","via padova via de la salle","","45.5032657701716","9.24052113146939","","","","","Europe/Rome","2"
