route_id,stop_name,stop_id,stop_sequence,stop_lat,stop_lon
BQ88,v.le ungheria,16084,1,45.4454924645648,9.24881935902843
BQ88,rogoredo m3,16078,2,45.4331185802075,9.24009957772113
BQ86,via s. monica v.le testi,17161,1,45.5115976040113,9.2023755816582
BQ86,precotto m1,12562,2,45.5124066823399,9.22429433710687
BQ86,cascina gobba m2,16767,3,45.5113927542714,9.26012785804997
BQ79,gratosoglio,11090,1,45.4037457303297,9.17316253545344
BQ79,p.za abbiategrasso m2,11134,2,45.4306574395196,9.17702931465283
BQ78,san siro stadio m5,17530,1,45.4763367825204,9.11844184495317
BQ78,lotto (fieramilanocity) m1 m5,10658,2,45.4787328233094,9.14420147084575
BQ78,via govone,11007,3,45.4925647314605,9.16290016726909
BQ76,p.za madonna della provvidenza,10181,1,45.4764057067608,9.08896817272877
BQ76,bisceglie m1,10211,2,45.4552419968318,9.11214601394273
BQ75,"via rizzoli, 45",12889,1,45.506897824267,9.25312595458801
BQ75,stazione lambrate m2,16723,2,45.4849299758273,9.23634831675352
BQ68,molino dorino m1,10192,1,45.504898366019,9.0938949665694
BQ68,"via cilea, 70",10110,2,45.4956455243401,9.10320387262111
BQ68,via omodeo via cechov,16936,3,45.4925855829919,9.11701574742409
BQ55,loreto m1 m2,12212,1,45.4858889044849,9.21564757421325
BQ55,stazione lambrate m2,16723,2,45.4849299758273,9.23634831675352
BQ52,niguarda (parco nord),17144,1,45.5245414516849,9.19173165293464
BQ52,bicocca m5,12004,2,45.5154855518772,9.20488954047317
BQ46,cantalupa (area di servizio),16735,1,45.4193756335724,9.15768928999441
BQ46,famagosta m2,15602,2,45.437277340391,9.16927844050092
BQ45,san donato m3,12812,1,45.428703696389,9.25560336355396
BQ45,forlanini,16689,2,45.4619142609243,9.23629646230014
BQ44,cascina gobba m2,12899,1,45.5113147408364,9.26030084259289
BQ44,gorla m1,12554,2,45.5062047089649,9.22253540914223
BQ41,affori fn m3,17139,1,45.5215983877148,9.16835997008441
BQ41,q.re bovisasca,11032,2,45.5150974361922,9.16053911699792
