route_id,stop_name,stop_id,stop_sequence,stop_lat,stop_lon
T3,colonne di s. lorenzo,15077,20,45.4572041735175,9.18096113486575
T3,carrobbio,11481,21,45.4599041329824,9.18128812426206
T3,via torino via s. maria valle,11486,22,45.4606821324187,9.18315713265118
T3,via torino via palla,14188,23,45.4615401046536,9.18558310080378
T3,duomo m1 m3,12938,24,45.4636750993966,9.1870740317486
T3,duomo m1 m3,11490,25,45.4643260914874,9.18701004458218
T27,ovidio,19621,1,45.457058951276,9.24183167519169
T27,via marco bruto,12652,2,45.4595133109162,9.23914341418367
T27,via repetti,12650,3,45.4616542808035,9.23819842431821
T27,forlanini,12647,4,45.4620752573601,9.23599341416289
T27,v.le corsica via lomellina,12405,5,45.4622991975982,9.23095054400103
T27,v.le corsica via battistotti sassi,12400,6,45.4623192209885,9.22826054010559
T27,v.le campania v.le corsica,12391,7,45.4621861781186,9.22443256896103
T27,p.za grandi,12127,8,45.4622211801877,9.22022165101852
T27,p.za emilia,12125,9,45.4622481943692,9.21783966636936
T27,via cadore c.so ventidue marzo,12111,10,45.4622541837805,9.21495869383894
T27,p.za s. maria del suffragio,12098,11,45.4622821817372,9.21162277559805
T27,p.za cinque giornate,12095,12,45.4623021841201,9.20802777322981
T27,c.so p.ta vittoria (camera del lavoro),11820,13,45.4623401614245,9.20329684545175
T27,palazzo di giustizia,11810,14,45.4623761267274,9.20002191028841
T27,l.go augusto,11797,15,45.4627611188968,9.19761689828615
T27,p.za fontana,15381,16,45.4633710872224,9.19405098884712
T24,vigentino,15082,1,45.4218866230584,9.20339411437607
T24,via ripamonti via chopin,15083,2,45.4252665810322,9.20349609201869
T24,via ripamonti via val di sole,15084,3,45.4291435229819,9.20243908694179
T24,via ripamonti via noto,11720,4,45.4314355135248,9.2017830190436
T24,via ripamonti via dell'assunta,11722,5,45.4331104669655,9.20132005830378
T24,via ripamonti via quaranta,11714,6,45.4356314696317,9.20082801684842
T24,via ripamonti via barletta,11743,7,45.4380064299797,9.20029703889687
